CID,CST_KEY,BDATE,GEN
NASAW00016517,AW00016517,16-09-1981,Female
NASAW00016518,AW00016518,17-12-1981,Female
NASAW00016519,AW00016519,11-02-1982,Female
NASAW00016520,AW00016520,22-04-1982,Female
NASAW00016521,AW00016521,07-02-1985,Female
NASAW00016522,AW00016522,01-01-1985,Female
NASAW00016523,AW00016523,10-07-1984,Female
NASAW00016524,AW00016524,20-01-1985,Male
NASAW00016525,AW00016525,22-11-1983,Female
NASAW00016526,AW00016526,23-04-1984,Male
NASAW00016527,AW00016527,18-12-1983,Male
NASAW00016528,AW00016528,22-02-1984,Female
NASAW00016529,AW00016529,25-01-1983,Male
NASAW00016530,AW00016530,16-04-1949,Female
NASAW00016531,AW00016531,22-12-1948,Female
NASAW00016532,AW00016532,18-12-1977,Male
NASAW00016533,AW00016533,21-11-1966,Female
NASAW00016534,AW00016534,05-08-1966,Female
NASAW00016535,AW00016535,09-05-1971,Male
NASAW00016536,AW00016536,19-01-1966,Female
NASAW00016537,AW00016537,12-04-1966,Male
NASAW00016538,AW00016538,12-07-1965,Female
NASAW00016539,AW00016539,07-01-1971,Female
NASAW00016540,AW00016540,15-03-1966,Male
NASAW00016541,AW00016541,27-06-1966,Male
NASAW00016542,AW00016542,07-12-1965,Male
NASAW00016543,AW00016543,04-12-1976,Female
NASAW00016544,AW00016544,04-04-1970,Male
NASAW00016545,AW00016545,11-07-1964,Female
NASAW00016546,AW00016546,24-02-1965,Male
NASAW00016547,AW00016547,11-08-1974,Male
NASAW00016548,AW00016548,11-07-1971,Male
NASAW00016549,AW00016549,02-02-1965,Female
NASAW00016550,AW00016550,18-02-1970,Male
NASAW00016551,AW00016551,09-05-1976,Female
NASAW00016552,AW00016552,06-01-1965,Male
NASAW00016553,AW00016553,01-09-1964,Female
NASAW00016554,AW00016554,14-02-1964,Female
NASAW00016555,AW00016555,19-12-1975,Male
NASAW00016556,AW00016556,06-07-1975,Female
NASAW00016557,AW00016557,13-04-1981,Male
NASAW00016558,AW00016558,13-04-1981,Male
NASAW00016559,AW00016559,22-04-1975,Female
NASAW00016560,AW00016560,12-04-1976,Male
NASAW00016561,AW00016561,02-12-1981,Male
NASAW00016562,AW00016562,06-09-1981,Female
NASAW00016563,AW00016563,23-02-1925,Female
NASAW00016564,AW00016564,04-02-1975,Female
NASAW00016565,AW00016565,06-10-1974,Male
NASAW00016566,AW00016566,19-01-1980,Female
NASAW00016567,AW00016567,10-03-1975,Male
NASAW00016568,AW00016568,13-08-1927,Female
NASAW00016569,AW00016569,09-09-1963,Female
NASAW00016570,AW00016570,13-09-1968,Female
NASAW00016571,AW00016571,05-09-1962,Female
NASAW00016572,AW00016572,14-05-1979,Male
NASAW00016573,AW00016573,09-08-1973,Male
NASAW00016574,AW00016574,09-03-1979,Male
NASAW00016575,AW00016575,03-03-1950,Female
NASAW00016576,AW00016576,10-04-1952,Male
NASAW00016577,AW00016577,01-10-1951,Female
NASAW00016578,AW00016578,03-06-1952,Female
NASAW00016579,AW00016579,18-12-1958,Male
NASAW00016580,AW00016580,01-01-1960,Female
NASAW00016581,AW00016581,19-07-1965,Male
NASAW00016582,AW00016582,30-09-1965,Male
NASAW00016583,AW00016583,02-11-1959,Male
NASAW00016584,AW00016584,31-10-1959,Male
NASAW00016585,AW00016585,03-11-1959,Male
NASAW00016586,AW00016586,17-12-1969,Male
NASAW00016587,AW00016587,11-03-1959,Male
NASAW00016588,AW00016588,01-10-1958,Male
NASAW00016589,AW00016589,08-10-1958,Male
NASAW00016590,AW00016590,29-08-1964,Male
NASAW00016591,AW00016591,22-04-1970,Male
NASAW00016592,AW00016592,15-05-1958,Female
NASAW00016593,AW00016593,04-07-1957,Female
NASAW00016594,AW00016594,01-09-1957,Male
NASAW00016595,AW00016595,16-01-1958,Male
NASAW00016596,AW00016596,24-09-1956,Female
NASAW00016597,AW00016597,11-09-1956,Female
NASAW00016598,AW00016598,02-05-1957,Female
NASAW00016599,AW00016599,14-11-1955,Male
NASAW00016600,AW00016600,13-11-1953,Female
NASAW00016601,AW00016601,08-08-1953,Female
NASAW00016602,AW00016602,19-03-1954,Female
NASAW00016603,AW00016603,18-05-1953,Female
NASAW00016604,AW00016604,03-07-1952,Male
NASAW00016605,AW00016605,09-05-1981,Female
NASAW00016606,AW00016606,09-05-1982,Male
NASAW00016607,AW00016607,23-02-1981,Male
NASAW00016608,AW00016608,11-06-1981,Male
NASAW00016609,AW00016609,09-08-1985,Male
NASAW00016610,AW00016610,21-12-1979,Female
NASAW00016611,AW00016611,15-07-1980,Male
NASAW00016612,AW00016612,18-02-1981,Female
NASAW00016613,AW00016613,06-10-1979,Female
NASAW00016614,AW00016614,22-03-1979,Female
NASAW00016615,AW00016615,08-08-1978,Female
NASAW00016616,AW00016616,02-06-1985,Male
NASAW00016617,AW00016617,06-08-1979,Male
NASAW00016618,AW00016618,15-12-1979,Female
NASAW00016619,AW00016619,02-11-1979,Female
NASAW00016620,AW00016620,12-05-1984,Male
NASAW00016621,AW00016621,12-03-1984,Female
NASAW00016622,AW00016622,12-11-1978,Male
NASAW00016623,AW00016623,04-03-1979,Male
NASAW00016624,AW00016624,24-07-1983,Male
NASAW00016625,AW00016625,19-05-1983,Male
NASAW00016626,AW00016626,15-01-1978,Male
NASAW00016627,AW00016627,23-05-1982,Female
NASAW00016628,AW00016628,16-10-1976,Male
NASAW00016629,AW00016629,13-03-1978,Female
NASAW00016630,AW00016630,08-01-1978,Male
NASAW00016631,AW00016631,16-09-1976,Female
NASAW00016632,AW00016632,13-11-1976,Male
NASAW00016633,AW00016633,24-06-1977,Female
NASAW00016634,AW00016634,12-02-1981,Female
NASAW00016635,AW00016635,14-08-1975,Male
NASAW00016636,AW00016636,23-02-1976,Male
NASAW00016637,AW00016637,15-02-1977,Male
NASAW00016638,AW00016638,07-02-1977,Male
NASAW00016639,AW00016639,07-01-1977,Female
NASAW00016640,AW00016640,30-11-1976,Male
NASAW00016641,AW00016641,14-11-1946,Female
NASAW00016642,AW00016642,03-11-1952,Male
NASAW00016643,AW00016643,16-01-1947,Male
NASAW00016644,AW00016644,22-06-1947,Male
NASAW00016645,AW00016645,16-04-1948,Female
NASAW00016646,AW00016646,23-04-1948,Male
NASAW00016647,AW00016647,16-04-1948,Female
NASAW00016648,AW00016648,24-12-1947,Female
NASAW00016649,AW00016649,06-08-1948,Female
NASAW00016650,AW00016650,02-03-1949,Female
NASAW00016651,AW00016651,25-03-1949,Female
NASAW00016652,AW00016652,02-08-1984,Female
NASAW00016653,AW00016653,14-10-1978,Female
NASAW00016654,AW00016654,14-03-1984,Female
NASAW00016655,AW00016655,23-09-1981,Female
NASAW00016656,AW00016656,06-11-1960,Male
NASAW00016657,AW00016657,17-09-1960,Male
NASAW00016658,AW00016658,12-10-1960,Female
NASAW00016659,AW00016659,01-06-1961,Female
NASAW00016660,AW00016660,01-12-1961,Male
NASAW00016661,AW00016661,13-10-1961,Male
NASAW00016662,AW00016662,05-09-1962,Female
NASAW00016663,AW00016663,08-04-1963,Female
NASAW00016664,AW00016664,15-12-1963,Female
NASAW00016665,AW00016665,23-12-1963,Female
NASAW00016666,AW00016666,07-10-1978,Female
NASAW00016667,AW00016667,04-05-1980,Female
NASAW00016668,AW00016668,15-01-1980,Male
NASAW00016669,AW00016669,21-09-1979,Male
NASAW00016670,AW00016670,15-01-1980,Female
NASAW00016671,AW00016671,22-02-1980,Female
NASAW00016672,AW00016672,26-12-1979,Female
NASAW00016673,AW00016673,05-11-1979,Male
NASAW00016674,AW00016674,09-11-1970,Male
NASAW00016675,AW00016675,13-06-1970,Female
NASAW00016676,AW00016676,22-03-1977,Female
NASAW00016677,AW00016677,07-02-1983,Male
NASAW00016678,AW00016678,14-04-1963,Male
NASAW00016679,AW00016679,30-03-1980,Female
NASAW00016680,AW00016680,12-09-1968,Male
NASAW00016681,AW00016681,11-09-1972,Male
NASAW00016682,AW00016682,05-01-1973,Female
NASAW00016683,AW00016683,01-09-1972,Female
NASAW00016684,AW00016684,17-05-1968,Male
NASAW00016685,AW00016685,11-12-1967,Female
NASAW00016686,AW00016686,12-01-1968,Female
NASAW00016687,AW00016687,07-04-1972,Male
NASAW00016688,AW00016688,03-04-1967,Female
NASAW00016689,AW00016689,03-03-1967,Male
NASAW00016690,AW00016690,01-05-1972,Female
NASAW00016691,AW00016691,05-05-1972,Female
NASAW00016692,AW00016692,11-10-1976,Male
NASAW00016693,AW00016693,20-07-1971,Male
NASAW00016694,AW00016694,07-11-1965,Female
NASAW00016695,AW00016695,24-10-1964,Male
NASAW00016696,AW00016696,11-08-1970,Female
NASAW00016697,AW00016697,31-10-1970,Male
NASAW00016698,AW00016698,06-08-1975,Female
NASAW00016699,AW00016699,24-02-1965,Male
NASAW00016700,AW00016700,17-06-1974,Male
NASAW00016701,AW00016701,10-01-1980,Female
NASAW00016702,AW00016702,12-03-1973,Female
NASAW00016703,AW00016703,02-11-1967,Female
NASAW00016704,AW00016704,30-11-1966,Female
NASAW00016705,AW00016705,08-01-1964,Female
NASAW00016706,AW00016706,07-11-1963,Female
NASAW00016707,AW00016707,05-10-1963,Male
NASAW00016708,AW00016708,06-04-1975,Female
NASAW00016709,AW00016709,14-12-1941,Male
NASAW00016710,AW00016710,15-03-1966,Female
NASAW00016711,AW00016711,01-08-1965,Male
NASAW00016712,AW00016712,23-04-1962,Female
NASAW00016713,AW00016713,06-05-1959,Male
NASAW00016714,AW00016714,07-02-1982,Male
NASAW00016715,AW00016715,21-03-1982,Female
NASAW00016716,AW00016716,02-08-1981,Male
NASAW00016717,AW00016717,08-10-1980,Female
NASAW00016718,AW00016718,22-01-1981,Male
NASAW00016719,AW00016719,10-07-1980,Male
NASAW00016720,AW00016720,17-05-1986,Female
NASAW00016721,AW00016721,03-03-1986,Male
NASAW00016722,AW00016722,25-12-1985,Male
NASAW00016723,AW00016723,14-03-1986,Female
NASAW00016724,AW00016724,13-11-1985,Male
NASAW00016725,AW00016725,19-12-1985,Male
NASAW00016726,AW00016726,22-11-1984,Male
NASAW00016727,AW00016727,17-05-1986,Male
NASAW00016728,AW00016728,20-07-1985,Male
NASAW00016729,AW00016729,11-12-1942,Male
NASAW00016730,AW00016730,31-03-1943,Female
NASAW00016731,AW00016731,08-08-1984,Female
NASAW00016732,AW00016732,23-12-1983,Female
NASAW00016733,AW00016733,05-03-1944,Male
NASAW00016734,AW00016734,20-09-1943,Female
NASAW00016735,AW00016735,04-12-1982,Female
NASAW00016736,AW00016736,20-03-1983,Female
NASAW00016737,AW00016737,29-10-1984,Female
NASAW00016738,AW00016738,02-03-1945,Male
NASAW00016739,AW00016739,21-12-1955,Male
NASAW00016740,AW00016740,25-04-1946,Male
NASAW00016741,AW00016741,07-03-1946,Male
NASAW00016742,AW00016742,12-05-1946,Male
NASAW00016743,AW00016743,17-11-1947,Female
NASAW00016744,AW00016744,13-12-1947,Female
NASAW00016745,AW00016745,23-05-1948,Female
NASAW00016746,AW00016746,05-05-1982,Female
NASAW00016747,AW00016747,11-12-1980,Male
NASAW00016748,AW00016748,28-11-1980,Male
NASAW00016749,AW00016749,07-11-1979,Male
NASAW00016750,AW00016750,08-11-1979,Male
NASAW00016751,AW00016751,09-12-1984,Male
NASAW00016752,AW00016752,27-08-1978,Male
NASAW00016753,AW00016753,22-08-1977,Female
NASAW00016754,AW00016754,04-06-1978,Male
NASAW00016755,AW00016755,23-01-1978,Female
NASAW00016756,AW00016756,18-03-1974,Male
NASAW00016757,AW00016757,30-12-1972,Female
NASAW00016758,AW00016758,14-11-1978,Male
NASAW00016759,AW00016759,30-12-1972,Female
NASAW00016760,AW00016760,07-08-1970,Female
NASAW00016761,AW00016761,11-06-1978,Male
NASAW00016762,AW00016762,23-01-1978,Male
NASAW00016763,AW00016763,04-05-1979,Male
NASAW00016764,AW00016764,20-11-1978,Male
NASAW00016765,AW00016765,04-01-1979,Male
NASAW00016766,AW00016766,01-02-1979,Female
NASAW00016767,AW00016767,03-10-1978,Male
NASAW00016768,AW00016768,07-01-1979,Male
NASAW00016769,AW00016769,22-04-1977,Male
NASAW00016770,AW00016770,21-03-1977,Male
NASAW00016771,AW00016771,23-06-1978,Male
NASAW00016772,AW00016772,14-07-1977,Female
NASAW00016773,AW00016773,06-05-1978,Male
NASAW00016774,AW00016774,07-02-1983,Male
NASAW00016775,AW00016775,14-09-1983,Female
NASAW00016776,AW00016776,19-09-1975,Male
NASAW00016777,AW00016777,04-03-1950,Male
NASAW00016778,AW00016778,03-03-1950,Male
NASAW00016779,AW00016779,22-04-1961,Female
NASAW00016780,AW00016780,24-03-1951,Male
NASAW00016781,AW00016781,16-12-1950,Male
NASAW00016782,AW00016782,21-08-1951,Male
NASAW00016783,AW00016783,05-06-1952,Female
NASAW00016784,AW00016784,10-08-1951,Female
NASAW00016785,AW00016785,09-02-1952,Male
NASAW00016786,AW00016786,23-03-1952,Male
NASAW00016787,AW00016787,22-04-1957,Female
NASAW00016788,AW00016788,11-10-1952,Male
NASAW00016789,AW00016789,20-03-1953,Female
NASAW00016790,AW00016790,06-02-1958,Male
NASAW00016791,AW00016791,03-11-1952,Male
NASAW00016792,AW00016792,07-12-1952,Female
NASAW00016793,AW00016793,03-11-1952,Female
NASAW00016794,AW00016794,17-10-1952,Female
NASAW00016795,AW00016795,31-10-1952,Female
NASAW00016796,AW00016796,03-12-1953,Female
NASAW00016797,AW00016797,18-05-1954,Male
NASAW00016798,AW00016798,01-11-1953,Female
NASAW00016799,AW00016799,06-04-1954,Female
NASAW00016800,AW00016800,19-12-1954,Female
NASAW00016801,AW00016801,19-01-1960,Female
NASAW00016802,AW00016802,09-01-1955,Male
NASAW00016803,AW00016803,17-07-1960,Male
NASAW00016804,AW00016804,18-06-1956,Male
NASAW00016805,AW00016805,10-03-1961,Male
NASAW00016806,AW00016806,01-02-1956,Male
NASAW00016807,AW00016807,03-04-1956,Female
NASAW00016808,AW00016808,02-04-1956,Female
NASAW00016809,AW00016809,20-06-1961,Female
NASAW00016810,AW00016810,28-02-1957,Male
NASAW00016811,AW00016811,16-10-1956,Male
NASAW00016812,AW00016812,09-09-1962,Female
NASAW00016813,AW00016813,11-10-1956,Male
NASAW00016814,AW00016814,08-08-1962,Female
NASAW00016815,AW00016815,06-11-1956,Male
NASAW00016816,AW00016816,07-03-1962,Female
NASAW00016817,AW00016817,18-06-1957,Male
NASAW00016818,AW00016818,02-08-1956,Female
NASAW00016819,AW00016819,31-12-1957,Male
NASAW00016820,AW00016820,12-07-1957,Female
NASAW00016821,AW00016821,17-01-1964,Female
NASAW00016822,AW00016822,27-05-1964,Male
NASAW00016823,AW00016823,17-01-1964,Female
NASAW00016824,AW00016824,14-11-1962,Male
NASAW00016825,AW00016825,01-02-1963,Female
NASAW00016826,AW00016826,08-11-1968,Male
NASAW00016827,AW00016827,14-08-1973,Male
NASAW00016828,AW00016828,06-02-1967,Male
NASAW00016829,AW00016829,24-04-1967,Male
NASAW00016830,AW00016830,19-04-1961,Female
NASAW00016831,AW00016831,08-11-1960,Male
NASAW00016832,AW00016832,10-12-1937,Male
NASAW00016833,AW00016833,21-02-1938,Male
NASAW00016834,AW00016834,18-01-1939,Female
NASAW00016835,AW00016835,13-04-1939,Male
NASAW00016836,AW00016836,22-05-1971,Male
NASAW00016837,AW00016837,22-04-1971,Female
NASAW00016838,AW00016838,16-07-1970,Male
NASAW00016839,AW00016839,17-12-1970,Female
NASAW00016840,AW00016840,11-09-1969,Male
NASAW00016841,AW00016841,16-05-1970,Male
NASAW00016842,AW00016842,06-04-1975,Female
NASAW00016843,AW00016843,15-08-1969,Male
NASAW00016844,AW00016844,22-07-1975,Female
NASAW00016845,AW00016845,12-09-1975,Female
NASAW00016846,AW00016846,05-11-1968,Male
NASAW00016847,AW00016847,16-09-1979,Male
NASAW00016848,AW00016848,01-10-1979,Female
NASAW00016849,AW00016849,24-09-1974,Male
NASAW00016850,AW00016850,31-03-1969,Female
NASAW00016851,AW00016851,28-09-1968,Male
NASAW00016852,AW00016852,03-06-1974,Female
NASAW00016853,AW00016853,19-08-1968,Female
NASAW00016854,AW00016854,20-02-1980,Male
NASAW00016855,AW00016855,12-05-1968,Female
NASAW00016856,AW00016856,09-06-1968,Female
NASAW00016857,AW00016857,14-12-1973,Male
NASAW00016858,AW00016858,10-02-1968,Female
NASAW00016859,AW00016859,17-08-1973,Male
NASAW00016860,AW00016860,14-09-1967,Female
NASAW00016861,AW00016861,06-06-1973,Male
NASAW00016862,AW00016862,18-06-1968,Male
NASAW00016863,AW00016863,08-02-1967,Female
NASAW00016864,AW00016864,03-11-1966,Female
NASAW00016865,AW00016865,02-06-1972,Female
NASAW00016866,AW00016866,19-10-1983,Female
NASAW00016867,AW00016867,23-02-1967,Female
NASAW00016868,AW00016868,01-02-1972,Male
NASAW00016869,AW00016869,01-08-1966,Female
NASAW00016870,AW00016870,31-03-1961,Female
NASAW00016871,AW00016871,07-02-1966,Female
NASAW00016872,AW00016872,20-02-1976,Male
NASAW00016873,AW00016873,10-09-1940,Male
NASAW00016874,AW00016874,28-02-1941,Female
NASAW00016875,AW00016875,23-02-1946,Female
NASAW00016876,AW00016876,03-12-1941,Male
NASAW00016877,AW00016877,30-08-1947,Female
NASAW00016878,AW00016878,19-05-1942,Male
NASAW00016879,AW00016879,27-08-1941,Female
NASAW00016880,AW00016880,18-05-1953,Male
NASAW00016881,AW00016881,10-08-1941,Male
NASAW00016882,AW00016882,13-12-1965,Male
NASAW00016883,AW00016883,27-06-1966,Male
NASAW00016884,AW00016884,05-02-1960,Male
NASAW00016885,AW00016885,30-11-1970,Male
NASAW00016886,AW00016886,17-04-1960,Male
NASAW00016887,AW00016887,08-02-1960,Male
NASAW00016888,AW00016888,18-08-1959,Female
NASAW00016889,AW00016889,02-09-1965,Male
NASAW00016890,AW00016890,31-08-1959,Male
NASAW00016891,AW00016891,08-05-1960,Female
NASAW00016892,AW00016892,10-08-1959,Female
NASAW00016893,AW00016893,31-12-1958,Male
NASAW00016894,AW00016894,05-02-1975,Female
NASAW00016895,AW00016895,13-12-1957,Female
NASAW00016896,AW00016896,20-04-1958,Female
NASAW00016897,AW00016897,19-08-1963,Female
NASAW00016898,AW00016898,07-05-1963,Male
NASAW00016899,AW00016899,31-03-1943,Female
NASAW00016900,AW00016900,21-05-1943,Male
NASAW00016901,AW00016901,23-04-1943,Male
NASAW00016902,AW00016902,05-04-1944,Male
NASAW00016903,AW00016903,30-01-1944,Male
NASAW00016904,AW00016904,08-01-1944,Female
NASAW00016905,AW00016905,08-10-1943,Female
NASAW00016906,AW00016906,09-02-1944,Female
NASAW00016907,AW00016907,17-09-1944,Female
NASAW00016908,AW00016908,29-11-1944,Female
NASAW00016909,AW00016909,09-05-1945,Female
NASAW00016910,AW00016910,11-12-1944,Male
NASAW00016911,AW00016911,17-10-1945,Male
NASAW00016912,AW00016912,04-09-1945,Male
NASAW00016913,AW00016913,12-05-1946,Male
NASAW00016914,AW00016914,23-04-1974,Female
NASAW00016915,AW00016915,03-09-1979,Male
NASAW00016916,AW00016916,21-12-1973,Female
NASAW00016917,AW00016917,02-08-1973,Male
NASAW00016918,AW00016918,07-02-1985,Female
NASAW00016919,AW00016919,17-04-1950,Female
NASAW00016920,AW00016920,16-07-1984,Male
NASAW00016921,AW00016921,13-05-1984,Male
NASAW00016922,AW00016922,02-08-1983,Female
NASAW00016923,AW00016923,08-05-1984,Male
NASAW00016924,AW00016924,04-05-1984,Female
NASAW00016925,AW00016925,18-01-1984,Male
NASAW00016926,AW00016926,26-08-1950,Male
NASAW00016927,AW00016927,19-10-1950,Female
NASAW00016928,AW00016928,16-04-1963,Male
NASAW00016929,AW00016929,10-12-1951,Female
NASAW00016930,AW00016930,05-01-1953,Female
NASAW00016931,AW00016931,13-03-1953,Male
NASAW00016932,AW00016932,07-01-1968,Male
NASAW00016933,AW00016933,18-07-1973,Male
NASAW00016934,AW00016934,06-06-1973,Female
NASAW00016935,AW00016935,29-08-1967,Male
NASAW00016936,AW00016936,31-01-1942,Female
NASAW00016937,AW00016937,24-08-1973,Male
NASAW00016938,AW00016938,08-11-1963,Female
NASAW00016939,AW00016939,06-12-1968,Female
NASAW00016940,AW00016940,28-10-1968,Female
NASAW00016941,AW00016941,15-03-1973,Female
NASAW00016942,AW00016942,02-10-1959,Female
NASAW00016943,AW00016943,24-08-1949,Female
NASAW00016944,AW00016944,04-11-1943,Male
NASAW00016945,AW00016945,11-11-1943,Female
NASAW00016946,AW00016946,23-01-1944,Female
NASAW00016947,AW00016947,31-03-1981,Female
NASAW00016948,AW00016948,11-09-1981,Female
NASAW00016949,AW00016949,12-04-1981,Male
NASAW00016950,AW00016950,14-05-1976,Male
NASAW00016951,AW00016951,31-03-1976,Female
NASAW00016952,AW00016952,18-10-1981,Male
NASAW00016953,AW00016953,02-04-1976,Female
NASAW00016954,AW00016954,24-11-1975,Male
NASAW00016955,AW00016955,15-02-1975,Male
NASAW00016956,AW00016956,06-01-1980,Male
NASAW00016957,AW00016957,20-05-1975,Male
NASAW00016958,AW00016958,29-10-1982,Male
NASAW00016959,AW00016959,07-08-1976,Male
NASAW00016960,AW00016960,06-03-1977,Female
NASAW00016961,AW00016961,12-06-1982,Female
NASAW00016962,AW00016962,22-02-1975,Male
NASAW00016963,AW00016963,24-01-1980,Female
NASAW00016964,AW00016964,17-11-1974,Male
NASAW00016965,AW00016965,30-08-1973,Female
NASAW00016966,AW00016966,08-12-1972,Female
NASAW00016967,AW00016967,15-08-1975,Male
NASAW00016968,AW00016968,15-08-1975,Male
NASAW00016969,AW00016969,01-03-1976,Male
NASAW00016970,AW00016970,12-08-1978,Female
NASAW00016971,AW00016971,16-03-1973,Female
NASAW00016972,AW00016972,04-10-1983,Male
NASAW00016973,AW00016973,23-09-1972,Female
NASAW00016974,AW00016974,24-06-1978,Female
NASAW00016975,AW00016975,08-12-1971,Male
NASAW00016976,AW00016976,07-09-1971,Female
NASAW00016977,AW00016977,04-04-1972,Male
NASAW00016978,AW00016978,02-10-1971,Male
NASAW00016979,AW00016979,31-01-1972,Female
NASAW00016980,AW00016980,06-10-1971,Female
NASAW00016981,AW00016981,13-01-1975,Male
NASAW00016982,AW00016982,03-03-1980,Female
NASAW00016983,AW00016983,02-09-1974,Male
NASAW00016984,AW00016984,01-01-1976,Male
NASAW00016985,AW00016985,30-09-1976,Male
NASAW00016986,AW00016986,04-08-1970,Female
NASAW00016987,AW00016987,07-10-1970,Male
NASAW00016988,AW00016988,15-04-1976,Male
NASAW00016989,AW00016989,16-09-1976,Female
NASAW00016990,AW00016990,18-01-1971,Male
NASAW00016991,AW00016991,21-03-1970,Female
NASAW00016992,AW00016992,12-03-1981,Male
NASAW00016993,AW00016993,15-08-1975,Male
NASAW00016994,AW00016994,14-12-1969,Female
NASAW00016995,AW00016995,18-01-1970,Female
NASAW00016996,AW00016996,11-01-1970,Female
NASAW00016997,AW00016997,22-10-1969,Female
NASAW00016998,AW00016998,08-07-1975,Female
NASAW00016999,AW00016999,15-04-1975,Female
NASAW00017000,AW00017000,30-12-1968,Female
NASAW00017001,AW00017001,01-03-1969,Female
NASAW00017002,AW00017002,11-12-1974,Male
NASAW00017003,AW00017003,26-04-1969,Female
NASAW00017004,AW00017004,01-11-1979,Female
NASAW00017005,AW00017005,18-07-1968,Female
NASAW00017006,AW00017006,06-08-1968,Male
NASAW00017007,AW00017007,19-12-1973,Male
NASAW00017008,AW00017008,26-10-1973,Male
NASAW00017009,AW00017009,25-04-1974,Male
NASAW00017010,AW00017010,25-10-1973,Female
NASAW00017011,AW00017011,17-04-1979,Female
NASAW00017012,AW00017012,17-04-1969,Female
NASAW00017013,AW00017013,06-09-1967,Female
NASAW00017014,AW00017014,23-10-1973,Male
NASAW00017015,AW00017015,02-11-1967,Female
NASAW00017016,AW00017016,21-02-1968,Female
NASAW00017017,AW00017017,01-11-1967,Male
NASAW00017018,AW00017018,10-06-1972,Female
NASAW00017019,AW00017019,20-11-1977,Female
NASAW00017020,AW00017020,18-02-1967,Female
NASAW00017021,AW00017021,03-01-1967,Female
NASAW00017022,AW00017022,07-04-1972,Female
NASAW00017023,AW00017023,13-07-1971,Male
NASAW00017024,AW00017024,11-05-1966,Female
NASAW00017025,AW00017025,29-10-1972,Male
NASAW00017026,AW00017026,09-01-1973,Male
NASAW00017027,AW00017027,24-12-1972,Female
NASAW00017028,AW00017028,22-04-1977,Female
NASAW00017029,AW00017029,20-06-1977,Female
NASAW00017030,AW00017030,21-02-1970,Female
NASAW00017031,AW00017031,24-05-1965,Female
NASAW00017032,AW00017032,05-05-1965,Female
NASAW00017033,AW00017033,18-08-1970,Male
NASAW00017034,AW00017034,09-10-1964,Female
NASAW00017035,AW00017035,20-04-1965,Male
NASAW00017036,AW00017036,16-07-1970,Female
NASAW00017037,AW00017037,10-05-1965,Male
NASAW00017038,AW00017038,06-08-1964,Male
NASAW00017039,AW00017039,14-10-1963,Female
NASAW00017040,AW00017040,23-08-1969,Male
NASAW00017041,AW00017041,11-11-1963,Male
NASAW00017042,AW00017042,19-04-1975,Male
NASAW00017043,AW00017043,22-09-1974,Female
NASAW00017044,AW00017044,25-05-1964,Female
NASAW00017045,AW00017045,05-07-1980,Male
NASAW00017046,AW00017046,06-03-1975,Male
NASAW00017047,AW00017047,12-08-1980,Female
NASAW00017048,AW00017048,14-03-1986,Female
NASAW00017049,AW00017049,05-10-1974,Female
NASAW00017050,AW00017050,23-05-1976,Female
NASAW00017051,AW00017051,25-08-1973,Female
NASAW00017052,AW00017052,18-04-1979,Male
NASAW00017053,AW00017053,25-01-1974,Female
NASAW00017054,AW00017054,22-08-1978,Male
NASAW00017055,AW00017055,05-05-1986,Male
NASAW00017056,AW00017056,16-03-1975,Male
NASAW00017057,AW00017057,24-02-1975,Female
NASAW00017058,AW00017058,07-01-1973,Female
NASAW00017059,AW00017059,02-01-1978,Male
NASAW00017060,AW00017060,16-09-1972,Male
NASAW00017061,AW00017061,07-10-1978,Female
NASAW00017062,AW00017062,26-05-1973,Female
NASAW00017063,AW00017063,15-12-1971,Female
NASAW00017064,AW00017064,20-05-1977,Female
NASAW00017065,AW00017065,21-10-1982,Male
NASAW00017066,AW00017066,06-10-1970,Female
NASAW00017067,AW00017067,19-03-1976,Female
NASAW00017068,AW00017068,02-03-1974,Male
NASAW00017069,AW00017069,12-12-1979,Female
NASAW00017070,AW00017070,02-11-1979,Female
NASAW00017071,AW00017071,18-08-1970,Female
NASAW00017072,AW00017072,07-11-1969,Female
NASAW00017073,AW00017073,12-09-1969,Male
NASAW00017074,AW00017074,23-08-1969,Male
NASAW00017075,AW00017075,10-01-1970,Female
NASAW00017076,AW00017076,18-11-1974,Male
NASAW00017077,AW00017077,27-08-1968,Male
NASAW00017078,AW00017078,01-02-1969,Female
NASAW00017079,AW00017079,13-08-1968,Female
NASAW00017080,AW00017080,17-01-1984,Female
NASAW00017081,AW00017081,04-02-1985,Female
NASAW00017082,AW00017082,20-11-1979,Female
NASAW00017083,AW00017083,13-08-1985,Female
NASAW00017084,AW00017084,14-05-1986,Male
NASAW00017085,AW00017085,06-10-1979,Male
NASAW00017086,AW00017086,08-04-1979,Male
NASAW00017087,AW00017087,21-12-1977,Male
NASAW00017088,AW00017088,29-01-1978,Male
NASAW00017089,AW00017089,03-05-1978,Female
NASAW00017090,AW00017090,13-02-1978,Female
NASAW00017091,AW00017091,20-10-1977,Female
NASAW00017092,AW00017092,11-06-1979,Male
NASAW00017093,AW00017093,15-02-1979,Male
NASAW00017094,AW00017094,03-01-1979,Male
NASAW00017095,AW00017095,05-08-1977,Male
NASAW00017096,AW00017096,19-04-1978,Female
NASAW00017097,AW00017097,05-08-1977,Female
NASAW00017098,AW00017098,15-07-1977,Male
